"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"LOC726216",12.719,12.727,11.77,12.438,13.51,12.261,13.9,10.715,15.47,13.434,12.953,12.478,14.864,13.388,17.034,13.469,18.958,19.806
"LOC102653727",0.566,1.546,0.933,0.412,0.958,1.018,0.223,1.053,0.728,0.377,0.306,0.26,0.828,0.449,0.866,0.858,1.105,1.328
"LOC726594",0.984,0.348,1.157,0.743,1.037,1.589,1.759,0.966,0.85,0.918,1.035,1.583,1.833,1.367,1.855,1.788,2.191,1.559
"LOC409318",0.715,0.651,1.184,0.776,0.439,1.346,0.913,0.739,0.878,1.186,0.639,0.809,1.258,1.213,0.922,1.79,1.772,0.686
"LOC411538",60.934,71.97,65.119,67.328,68.431,73.471,62.345,70.376,64.71,69.594,60.18,63.044,57.657,47.989,55.269,59.167,64.135,68.316
"LOC550785",698.17,777.103,676.4,662.61,663.206,526.26,718.828,1045.502,762.969,811.902,830.62,795.916,734.035,852.11,673.451,676.806,667.584,573.237
"LOC107965270",4.355,3.504,3.993,2.668,3.601,5.003,4.656,3.015,3.731,4.252,3.932,4.235,4.434,3.47,4.883,3.67,4.98,4.989
"LOC726510",41.69,33.963,39.028,44.875,36.013,34.819,27.345,32.41,31.85,33.073,24.957,30.779,31.855,31.998,34.898,35.967,27.215,31.252
"LOC411790",11.338,7.309,7.481,9.282,9.874,8.176,12.859,14.857,16.937,15.211,23.276,14.019,10.946,9.579,13.817,10.533,11.908,11.3
"LOC551109",45.857,39.184,48.491,49.591,44.667,46.525,60.295,41.701,57.635,46.726,52.886,53.924,49.233,46.927,64.805,53.287,57.895,81.659
"LOC411714",58.498,64.25,60.346,63.161,60.754,62.037,77.097,66.961,76.34,60.927,70.703,74.097,56.448,65.194,71.073,59.691,69.245,87.071
"LOC102655948",2.001,2.662,1.628,1.046,1.946,1.938,4.386,5.011,5.418,2.872,4.227,4.62,4.874,2.993,4.809,4.761,3.224,2.793
"LOC410424",15.11,12.673,10.7,10.426,10.239,8.427,9.093,10.307,7.571,8.458,10.797,8.493,12.922,14.415,12.264,11.251,13.301,10.526
"LOC408463",94.849,76.044,81.272,91.178,95.503,82.057,78.215,91.631,68.081,91.002,75.612,69.266,62.3,64.598,39.423,59.693,49.948,25.827
"LOC551012",20.705,24.022,18.022,20.93,21.016,18.049,34.703,27.259,31.899,22.834,28.606,28.231,24.328,25.955,30.383,24.823,25.865,28.263
"LOC726015",2.161,2.623,2.886,2.856,3.557,2.209,2.373,1.731,1.965,1.848,2.558,1.416,2.348,2.779,1.608,3.554,2.241,2.179
"LOC102653873",4.123,6.641,6.405,4.581,5.179,4.608,9.525,11.21,10.817,8.383,8.91,13.374,6.499,7.243,7.928,7.755,6.065,8.314
"Mir9870",3.762,3.425,1.809,3.196,10.403,1.822,5.188,1.75,0,1.755,0,0,1.752,0,0,3.325,1.713,0
"LOC102656564",0.377,0.686,0.906,1.12,0.595,0.547,1.039,1.927,0.925,0.879,2.497,0.404,0.175,1.744,1.513,1.665,1.201,1.302
